76281869;-27;-16;-6;8;-14;17;-5;4;
76282982;1;-8;2;7;-3;-20;7;-10;
76284082;-14;-14;2;-12;-2;-8;-5;-13;
76285179;-6;-10;13;11;0;-2;22;11;
76286288;-1;17;12;11;0;4;4;-3;
76287399;-12;-5;-27;-11;-10;-14;11;-8;
76288507;13;-13;-7;8;-7;-3;9;16;
76289619;-11;-12;-13;-12;-25;1;-7;-23;
76290710;8;3;-5;-3;-6;-5;-6;-4;
76291799;1;6;-1;-2;17;17;4;15;
76292902;-6;-6;-1;-6;10;-6;-6;-91;
76293999;-2;-19;-8;-1;-5;-11;14;-8;
76295107;5;3;-2;2;21;-7;0;-124;
76296212;-14;-10;-5;-1;-9;-11;-6;-21;
76297317;-5;-9;-12;-15;4;-15;-2;-18;
76298441;-5;-3;3;-4;4;-6;3;-16;
76299531;3;-7;-2;6;12;6;-3;-4;
76300637;6;0;7;103;16;1;-3;-23;
76301744;0;0;19;-4;8;12;9;13;
76302854;-1;-6;-8;2;-6;0;7;-6;
